CRASH DATE,BOROUGH,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED
12/31/2022,BROOKLYN,40.681515,-73.90412,0
12/31/2022,BROOKLYN,40.697582,-73.92983,0
12/31/2022,BROOKLYN,40.629974,-74.00813,1
12/31/2022,BROOKLYN,40.69358,-73.98176,0
12/31/2022,BROOKLYN,40.63571,-73.9374,0
12/31/2022,BROOKLYN,40.63721,-74.02221,1
12/31/2022,BROOKLYN,40.62456,-73.925545,0
12/31/2022,BROOKLYN,40.68373,-73.87188,0
12/31/2022,BROOKLYN,40.64572,-73.95912,0
12/31/2022,BROOKLYN,40.628105,-73.92887,0
12/31/2022,BROOKLYN,40.61652,-74.0078,0
12/31/2022,BROOKLYN,40.612957,-73.95908,1
12/31/2022,BROOKLYN,40.729332,-73.959175,0
12/31/2022,BROOKLYN,40.61497,-73.92844,0
12/31/2022,BROOKLYN,40.669937,-73.90019,0
12/31/2022,BROOKLYN,40.63742,-73.92401,0
12/31/2022,BROOKLYN,40.661026,-73.89248,1
12/31/2022,BROOKLYN,40.596672,-73.989716,1
12/31/2022,BROOKLYN,40.696262,-73.973854,0
12/31/2022,BROOKLYN,40.65165,-73.932045,2
12/31/2022,BROOKLYN,40.699482,-73.96104,1
12/31/2022,BROOKLYN,40.621716,-74.02499,0
12/31/2022,BROOKLYN,40.670456,-73.9151,0
12/31/2022,BROOKLYN,40.618145,-73.99495,0
12/31/2022,BROOKLYN,40.71337,-73.934814,1
12/31/2022,BROOKLYN,40.617165,-73.986916,0
12/31/2022,BROOKLYN,40.69018,-73.9356,0
12/31/2022,BROOKLYN,40.60034,-73.99993,0
12/31/2022,BROOKLYN,40.596607,-73.95089,0
12/31/2022,BROOKLYN,40.685574,-73.95063,1
12/31/2022,BROOKLYN,40.60145,-73.98138,1
12/31/2022,BROOKLYN,,,0
12/31/2022,BROOKLYN,40.65416,-73.91353,0
12/31/2022,BROOKLYN,40.61304,-73.92621,1
12/31/2022,BROOKLYN,40.67968,-73.97826,1
12/31/2022,BROOKLYN,40.651417,-73.92067,1
12/31/2022,BROOKLYN,40.662895,-73.92603,0
12/31/2022,BROOKLYN,40.683132,-73.88259,1
12/31/2022,BROOKLYN,40.641575,-74.02427,0
12/31/2022,BROOKLYN,40.663002,-73.916695,4
12/31/2022,BROOKLYN,40.67892,-73.88441,0
12/31/2022,BROOKLYN,40.59592,-73.941025,0
12/31/2022,BROOKLYN,40.662743,-73.921936,1
12/31/2022,BROOKLYN,40.679165,-73.90751,1
12/31/2022,BROOKLYN,40.66721,-73.928505,0
01/01/2023,BROOKLYN,40.60131,-73.95472,0
01/01/2023,BROOKLYN,40.652767,-73.8863,0
01/01/2023,BROOKLYN,40.63672,-73.887695,1
01/01/2023,BROOKLYN,40.59376,-73.98274,2
01/01/2023,BROOKLYN,40.670116,-73.92248,0
01/01/2023,BROOKLYN,40.663136,-73.88325,0
01/01/2023,BROOKLYN,40.678246,-73.870186,1
01/01/2023,BROOKLYN,40.70669,-73.95884,0
01/01/2023,BROOKLYN,40.63835,-73.90889,1
01/01/2023,BROOKLYN,40.660797,-73.87183,2
01/01/2023,BROOKLYN,40.643456,-73.972725,2
01/01/2023,BROOKLYN,40.67816,-73.897484,0
01/01/2023,BROOKLYN,40.699265,-73.91482,0
01/01/2023,BROOKLYN,40.690468,-73.9879,1
01/01/2023,BROOKLYN,40.649895,-73.90762,1
01/01/2023,BROOKLYN,40.65393,-73.86744,0
01/01/2023,BROOKLYN,40.626457,-73.918,0
01/01/2023,BROOKLYN,40.62368,-73.99772,1
01/01/2023,BROOKLYN,40.68936,-73.92315,0
01/01/2023,BROOKLYN,40.67811,-73.89762,1
01/01/2023,BROOKLYN,40.62286,-74.02535,5
01/01/2023,BROOKLYN,40.643032,-73.97887,3
01/01/2023,BROOKLYN,40.70166,-73.961464,0
01/01/2023,BROOKLYN,40.68448,-73.88409,0
01/01/2023,BROOKLYN,40.680016,-73.87743,0
01/01/2023,BROOKLYN,40.674725,-73.90525,1
01/01/2023,BROOKLYN,40.689217,-73.917656,0
01/01/2023,BROOKLYN,40.690453,-73.97233,0
01/01/2023,BROOKLYN,40.678444,-73.86886,0
01/01/2023,BROOKLYN,40.644196,-73.97427,0
01/01/2023,BROOKLYN,40.668484,-73.92532,1
01/01/2023,BROOKLYN,40.68725,-73.93507,1
01/01/2023,BROOKLYN,40.61269,-73.982666,0
01/01/2023,BROOKLYN,40.703434,-73.96035,0
01/01/2023,BROOKLYN,40.628414,-73.94139,0
01/01/2023,BROOKLYN,40.67878,-73.91986,0
01/01/2023,BROOKLYN,40.706806,-73.94878,0
01/01/2023,BROOKLYN,40.61319,-73.98351,0
01/01/2023,BROOKLYN,40.69603,-73.943535,1
01/01/2023,BROOKLYN,40.654526,-73.94432,0
01/01/2023,BROOKLYN,40.646137,-73.94909,0
01/01/2023,BROOKLYN,40.72221,-73.957565,0
01/01/2023,BROOKLYN,40.69595,-73.93764,0
01/01/2023,BROOKLYN,40.682373,-73.97729,0
01/01/2023,BROOKLYN,40.65944,-73.93018,1
01/01/2023,BROOKLYN,40.635006,-73.93153,0
01/01/2023,BROOKLYN,40.66998,-73.920074,0
01/01/2023,BROOKLYN,40.651226,-73.94096,0
01/01/2023,BROOKLYN,40.637394,-73.92986,0
01/01/2023,BROOKLYN,40.66312,-73.92371,0
01/01/2023,BROOKLYN,40.71337,-73.934814,1
01/01/2023,BROOKLYN,40.708237,-73.94337,1
01/01/2023,BROOKLYN,40.69366,-73.93154,0
01/01/2023,BROOKLYN,40.651337,-73.889595,1
